Main Patent ;lang;Ten Most Similar Patents;;;;;;;;;;Judge
EP2058763A1;en;EP2059028A1;EP2254097A1;WO2014156635A1;WO2005057386A1;EP2980752A1;EP2624204A2;EP2635034A1;EP2858036A1;WO2005024723A1;WO2012056686A1;2,1,0,0,1,1,1,1,1,1
WO0045257A2;en;EP2275930A1;WO2006082091A2;WO2012003997A1;WO2012160012A1;WO2011101048A1;EP0523337A2;WO2011160726A1;WO9215939A1;WO2009087152A2;WO9215932A2;1,1,1,0,2,1,2,1,2,1
WO2016058122A1;zh;WO2016074638A1;WO2014108960A1;WO2017067524A1;WO2017066612A1;WO2013150425A1;WO2013052722A1;WO2016057745A1;WO2015047550A1;WO2015134569A1;WO2012011926A2;2,1,2,2,1,0,0,1,1,1
WO2005029471A1;ja;WO2006041165A1;EP1801691A1;WO8100314A1;WO2007058296A1;WO2005031982A1;WO2007083525A1;WO2014027664A1;WO2007058294A1;EP0869681A2;WO9219074A1;1,1,0,1,0,2,0,1,1,1
EP2632137A1;en;WO2011143451A1;WO2011143450A1;WO2012142054A2;WO2012102879A1;WO02079981A1;WO2011143447A1;WO0163391A2;WO2005034541A1;WO2015180667A1;WO2008021734A1;1,1,0,2,0,1,2,0,0,2
WO02080652A1;en;WO0024239A1;WO9109375A1;WO9202924A1;WO2005106859A1;WO2014167229A1;EP2449986A1;WO9723873A1;EP0323154A2;WO2007128972A1;EP0236028A2;2,1,0,0,0,0,1,1,0,0
WO2016143498A1;ja;WO2014024486A1;WO2012117738A1;EP1480489A2;WO2013145739A1;WO2015098090A1;WO2013058030A1;WO2006114934A1;WO2012114754A1;WO2016153181A1;EP1251382A1;0,1,0,1,1,0,0,1,0,0
WO2005043226A2;en;WO2004114078A2;WO2004092926A2;EP2495682A1;WO03063068A1;WO2014152002A2;EP0784263A1;WO9918536A1;WO2011022632A2;WO0111876A1;WO2012001077A1;0,2,1,2,0,0,0,0,0,0
EP0757343A1;en;EP0992986A2;EP0992985A2;EP0895226A1;EP1022727A2;EP1011097A2;EP1011098A2;EP1011100A2;WO9625736A1;EP0628952A2;EP1045377A2;2,2,2,2,2,2,2,2,1,1,
WO2014178862A2;en;WO2010065886A1;WO2010091320A1;WO2014066779A2;WO2010111705A2;WO2017006133A2;WO2015168436A1;WO2015168281A1;WO2013063159A2;WO2015130773A1;WO9948046A1;1,0,1,1,0,2,2,2,2,0
EP2218485A1;en;WO2009069278A1;WO2012086443A1;EP2463825A1;WO2005116939A1;EP2161690A1;EP1103920A2;WO9801824A1;EP2348393A1;WO2006095488A1;EP1759746A2;2,0,1,0,2,1,1,2,1,1
EP1028431A2;en;WO9963598A1;WO9707535A1;WO2004061855A2;EP0293578A2;WO9741601A1;WO2017053530A1;WO2015099788A1;WO0044018A1;EP0700049A1;WO2006102565A2;2,2,2,0,0,2,0,0,1,0
EP1030297A1;en;EP0756276A1;WO0127788A1;EP1102170A1;WO2009033116A2;WO0140887A1;WO9830958A1;WO0029921A2;WO0029956A1;WO9632792A1;WO0139086A2;1,0,0,1,1,0,0,0,0,0
EP1717335A1;en;EP1717336A1;EP1985725A2;EP2028287A1;EP2022871A2;EP1719822A1;EP1757712A1;WO2005078152A1;WO2005121393A1;WO2005078153A1;WO2005083150A1;2,2,2,2,2,2,2,2,2,2
WO2012128314A1;ja;WO2016171050A1;WO2009040872A1;WO2007060987A1;WO2012063467A1;WO2009044489A1;WO2011115142A1;EP3009501A1;WO2014104376A1;WO2012063469A1;WO2011045837A1;2,1,0,1,0,2,0,0,1,0
EP1137013A2;en;EP0442301A2;EP0242854A2;WO2007060763A1;WO2013130230A1;WO9828710A1;WO2009001426A1;WO2007060738A1;EP0475049A2;WO2012006160A1;WO2012005993A1;1,0,0,0,0,0,0,0,0,0
EP3035222A1;en;WO2007051129A2;WO2007048237A1;WO2015191360A1;WO2010046525A1;WO2010118003A2;WO2015054644A1;WO2011119859A2;WO2016033631A1;WO2015149166A1;WO2014062202A2;1,0,0,0,0,0,0,0,0,0
WO2005041089A1;ja;WO2009050825A1;WO0239403A1;WO02073954A1;WO0159641A1;WO2015015645A1;WO2015162715A1;WO8500680A1;WO0205162A1;WO0250734A1;WO9406085A1;2,2,0,2,0,2,0,2,1,0
WO2016129275A1;ja;WO2013105460A1;WO2006035578A1;WO2016117022A1;EP1796054A1;WO2007116630A1;WO2016111079A1;WO2008105098A1;WO2009110305A1;WO2008129620A1;WO2009107506A1;0,1,2,1,0,2,1,2,1,1,
EP1321939A2;ja;EP1324337A2;EP0923077A1;WO9963671A1;WO03060912A1;EP1367582A1;EP0559452A2;EP0348570A1;EP1431972A2;EP0199088A2;WO2009082147A2;2,2,2,2,2,0,0,2,2,0
WO2015136528A1;en;WO2014189676A1;WO2014164567A1;WO2012068566A1;EP1760622A1;EP2860996A1;EP2650820A1;WO2014194405A1;WO2014198320A1;WO2013110934A1;WO2013066938A1;0,0,1,0,1,0,1,1,0,0
